R 01001100110101001110001010110111    R 01001100110101001110001110110111    R 01001100110101001110010010110111    R 01001100110101001110010110110111
R 01001100110101001110001010111000    R 01001100110101001110001110111000    R 01001100110101001110010010111000    R 01001100110101001110010110111000
R 01001100110101001110001010111001    R 01001100110101001110001110111001    R 01001100110101001110010010111001    R 01001100110101001110010110111001
R 01001100110101001110001010111010    R 01001100110101001110001110111010    R 01001100110101001110010010111010    R 01001100110101001110010110111010
R 01001100110101001110001010111011    R 01001100110101001110001110111011    R 01001100110101001110010010111011    R 01001100110101001110010110111011
R 01001100110101001110001010111100    R 01001100110101001110001110111100    R 01001100110101001110010010111100    R 01001100110101001110010110111100
R 01001100110101001110001010111101    R 01001100110101001110001110111101    R 01001100110101001110010010111101    R 01001100110101001110010110111101
R 01001100110101001110001010111110    R 01001100110101001110001110111110    R 01001100110101001110010010111110    R 01001100110101001110010110111110
R 01001100110101001110001010111111    R 01001100110101001110001110111111    R 01001100110101001110010010111111    R 01001100110101001110010110111111
R 01001100110101001110001011000000    R 01001100110101001110001111000000    R 01001100110101001110010011000000    R 01001100110101001110010111000000
R 01001100110101001110001011000001    R 01001100110101001110001111000001    R 01001100110101001110010011000001    R 01001100110101001110010111000001
R 01001100110101001110001011000010    R 01001100110101001110001111000010    R 01001100110101001110010011000010    R 01001100110101001110010111000010
R 01001100110101001110001011000011    R 01001100110101001110001111000011    R 01001100110101001110010011000011    R 01001100110101001110010111000011
R 01001100110101001110001011000100    R 01001100110101001110001111000100    R 01001100110101001110010011000100    R 01001100110101001110010111000100
R 01001100110101001110001011000101    R 01001100110101001110001111000101    R 01001100110101001110010011000101    R 01001100110101001110010111000101
R 01001100110101001110001011000110    R 01001100110101001110001111000110    R 01001100110101001110010011000110    R 01001100110101001110010111000110
R 01001100110101001110001011000111    R 01001100110101001110001111000111    R 01001100110101001110010011000111    R 01001100110101001110010111000111
R 01001100110101001110001011001000    R 01001100110101001110001111001000    R 01001100110101001110010011001000    R 01001100110101001110010111001000
R 01001100110101001110001011001001    R 01001100110101001110001111001001    R 01001100110101001110010011001001    R 01001100110101001110010111001001
R 01001100110101001110001011001010    R 01001100110101001110001111001010    R 01001100110101001110010011001010    R 01001100110101001110010111001010
R 01001100110101001110001011001011    R 01001100110101001110001111001011    R 01001100110101001110010011001011    R 01001100110101001110010111001011
R 01001100110101001110001011001100    R 01001100110101001110001111001100    R 01001100110101001110010011001100    R 01001100110101001110010111001100
R 01001100110101001110001011001101    R 01001100110101001110001111001101    R 01001100110101001110010011001101    R 01001100110101001110010111001101
R 01001100110101001110001011001110    R 01001100110101001110001111001110    R 01001100110101001110010011001110    R 01001100110101001110010111001110
R 01001100110101001110001011001111    R 01001100110101001110001111001111    R 01001100110101001110010011001111    R 01001100110101001110010111001111
R 01001100110101001110001011010000    R 01001100110101001110001111010000    R 01001100110101001110010011010000    R 01001100110101001110010111010000
R 01001100110101001110001011010001    R 01001100110101001110001111010001    R 01001100110101001110010011010001    R 01001100110101001110010111010001
R 01001100110101001110001011010010    R 01001100110101001110001111010010    R 01001100110101001110010011010010    R 01001100110101001110010111010010
R 01001100110101001110001011010011    R 01001100110101001110001111010011    R 01001100110101001110010011010011    R 01001100110101001110010111010011
R 01001100110101001110001011010100    R 01001100110101001110001111010100    R 01001100110101001110010011010100    R 01001100110101001110010111010100
R 01001100110101001110001011010101    R 01001100110101001110001111010101    R 01001100110101001110010011010101    R 01001100110101001110010111010101
R 01001100110101001110001011010110    R 01001100110101001110001111010110    R 01001100110101001110010011010110    R 01001100110101001110010111010110
R 01001100110101001110001011010111    R 01001100110101001110001111010111    R 01001100110101001110010011010111    R 01001100110101001110010111010111
R 01001100110101001110001011011000    R 01001100110101001110001111011000    R 01001100110101001110010011011000    R 01001100110101001110010111011000
R 01001100110101001110001011011001    R 01001100110101001110001111011001    R 01001100110101001110010011011001    R 01001100110101001110010111011001
R 01001100110101001110001011011010    R 01001100110101001110001111011010    R 01001100110101001110010011011010    R 01001100110101001110010111011010
R 01001100110101001110001011011011    R 01001100110101001110001111011011    R 01001100110101001110010011011011    R 01001100110101001110010111011011
R 01001100110101001110001011011100    R 01001100110101001110001111011100    R 01001100110101001110010011011100    R 01001100110101001110010111011100
R 01001100110101001110001011011101    R 01001100110101001110001111011101    R 01001100110101001110010011011101    R 01001100110101001110010111011101
R 01001100110101001110001011011110    R 01001100110101001110001111011110    R 01001100110101001110010011011110    R 01001100110101001110010111011110
R 01001100110101001110001011011111    R 01001100110101001110001111011111    R 01001100110101001110010011011111    R 01001100110101001110010111011111
R 01001100110101001110001011100000    R 01001100110101001110001111100000    R 01001100110101001110010011100000    R 01001100110101001110010111100000
R 01001100110101001110001011100001    R 01001100110101001110001111100001    R 01001100110101001110010011100001    R 01001100110101001110010111100001
R 01001100110101001110001011100010    R 01001100110101001110001111100010    R 01001100110101001110010011100010    R 01001100110101001110010111100010
R 01001100110101001110001011100011    R 01001100110101001110001111100011    R 01001100110101001110010011100011    R 01001100110101001110010111100011
R 01001100110101001110001011100100    R 01001100110101001110001111100100    R 01001100110101001110010011100100    R 01001100110101001110010111100100
R 01001100110101001110001011100101    R 01001100110101001110001111100101    R 01001100110101001110010011100101    R 01001100110101001110010111100101
R 01001100110101001110001011100110    R 01001100110101001110001111100110    R 01001100110101001110010011100110    R 01001100110101001110010111100110
R 01001100110101001110001011100111    R 01001100110101001110001111100111    R 01001100110101001110010011100111    R 01001100110101001110010111100111
R 01001100110101001110001011101000    R 01001100110101001110001111101000    R 01001100110101001110010011101000    R 01001100110101001110010111101000
R 01001100110101001110001011101001    R 01001100110101001110001111101001    R 01001100110101001110010011101001    R 01001100110101001110010111101001
R 01001100110101001110001011101010    R 01001100110101001110001111101010    R 01001100110101001110010011101010    R 01001100110101001110010111101010
R 01001100110101001110001011101011    R 01001100110101001110001111101011    R 01001100110101001110010011101011    R 01001100110101001110010111101011
R 01001100110101001110001011101100    R 01001100110101001110001111101100    R 01001100110101001110010011101100    R 01001100110101001110010111101100
R 01001100110101001110001011101101    R 01001100110101001110001111101101    R 01001100110101001110010011101101    R 01001100110101001110010111101101
R 01001100110101001110001011101110    R 01001100110101001110001111101110    R 01001100110101001110010011101110    R 01001100110101001110010111101110
R 01001100110101001110001011101111    R 01001100110101001110001111101111    R 01001100110101001110010011101111    R 01001100110101001110010111101111
R 01001100110101001110001011110000    R 01001100110101001110001111110000    R 01001100110101001110010011110000    R 01001100110101001110010111110000
R 01001100110101001110001011110001    R 01001100110101001110001111110001    R 01001100110101001110010011110001    R 01001100110101001110010111110001
R 01001100110101001110001011110010    R 01001100110101001110001111110010    R 01001100110101001110010011110010    R 01001100110101001110010111110010
R 01001100110101001110001011110011    R 01001100110101001110001111110011    R 01001100110101001110010011110011    R 01001100110101001110010111110011
R 01001100110101001110001011110100    R 01001100110101001110001111110100    R 01001100110101001110010011110100    R 01001100110101001110010111110100
R 01001100110101001110001011110101    R 01001100110101001110001111110101    R 01001100110101001110010011110101    R 01001100110101001110010111110101
